1.489, 1.094, -5.896
1.139, 0.936, -5.628
-1.094, 0.738, -4.531
1.264, 0.278, -5.472
1.552, -0.132, -5.848
1.512, -0.187, -5.847
1.852, -0.533, -5.658
1.110, 1.016, -5.653
1.821, 0.448, -5.816
1.332, 0.279, -5.514
0.901, 0.250, -5.211
0.895, 0.125, -5.263
1.517, -0.089, -5.805
1.216, -0.107, -5.649
-0.302, -0.387, -4.643
-0.996, -0.373, -4.179
-0.808, -0.534, -4.362
0.542, -0.661, -5.336
-0.622, -1.280, -3.864
1.708, 1.516, -6.250
0.093, 1.072, -5.243
1.518, 1.024, -5.861
-0.784, 0.669, -4.643
0.973, 0.716, -5.414
0.350, 0.538, -5.026
0.257, 0.520, -4.973
0.355, 0.507, -5.009
-0.731, 0.401, -4.491
0.107, 0.437, -4.877
1.348, 0.450, -5.449
-0.710, 0.369, -4.485
1.137, 0.393, -5.330
1.038, 0.368, -5.262
0.855, 0.321, -5.152
0.969, 0.308, -5.234
1.294, 0.322, -5.457
1.128, 0.284, -5.366
0.861, 0.271, -5.163
1.414, 0.302, -5.684
1.888, 0.309, -6.014
0.696, 0.213, -5.071
1.015, 0.220, -5.311
1.838, 0.218, -5.974
0.678, 0.178, -5.075
0.803, 0.168, -5.171
0.982, 0.161, -5.305
1.471, 0.159, -5.662
0.901, 0.151, -5.254
0.519, 0.130, -4.981
0.847, 0.131, -5.221
0.182, 0.088, -4.770
0.535, 0.090, -5.017
1.842, 0.090, -6.033
0.135, 0.054, -4.753
2.076, 0.049, -6.173
1.817, 0.042, -6.054
1.846, -0.036, -6.091
-0.661, -0.043, -4.207
1.756, -0.058, -6.008
0.709, -0.120, -5.289
0.162, -0.133, -4.846
0.609, -0.144, -5.223
-0.656, -0.178, -4.324
1.933, -0.263, -6.175
0.768, -0.236, -5.393
-0.721, -0.198, -4.297
0.123, -0.229, -4.923
1.497, -0.297, -5.879
0.612, -0.275, -5.281
0.769, -0.317, -5.432
1.082, -0.329, -5.595
0.709, -0.333, -5.389
0.340, -0.366, -5.060
1.084, -0.449, -5.645
1.191, -0.459, -5.742
0.906, -0.503, -5.526
-1.048, -0.385, -4.160
-0.591, -0.450, -4.547
0.124, -0.510, -5.049
0.824, -0.562, -5.498
0.372, -0.544, -5.167
-0.971, -0.511, -4.255
-0.102, -0.619, -4.862
0.466, -0.671, -5.273
1.820, -0.686, -5.271
-1.201, -0.582, -4.168
0.202, -0.705, -5.116
-0.588, -0.690, -4.648
